"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Acrobatic Cheerleader","W","C","354946","5.27","50314","7.52","212878","69.8%","54.2%","38567","54.3%","45655","52.6%","84222","53.4%","128307","54.7%","-1.4pp"
"Cult Healer","W","C","393472","6.29","46426","9.31","119088","42.5%","53.6%","20378","52.8%","28173","53.3%","48551","53.1%","70538","54.0%","-0.9pp"
"Dazzling Theater // Prop Room","W","R","50245","4.67","5598","7.19","6344","19.4%","45.0%","1024","36.9%","1439","41.3%","2463","39.5%","3870","48.4%","-8.9pp"
"Dollmaker's Shop // Porcelain Gallery","W","M","6988","1.40","5238","1.37","29589","90.7%","56.8%","5343","63.2%","7114","62.1%","12457","62.6%","17127","52.6%","9.9pp"
"Emerge from the Cocoon","W","C","389547","6.38","46383","9.33","101540","36.8%","51.8%","15876","50.4%","26123","56.4%","41999","54.1%","58864","50.0%","4.1pp"
"Enduring Innocence","W","R","16212","1.59","9999","1.58","55587","90.2%","56.7%","9816","61.4%","13131","58.9%","22947","60.0%","32682","54.3%","5.7pp"
"Ethereal Armor","W","U","90904","3.40","21745","4.15","107469","80.9%","55.7%","17437","56.1%","26077","58.6%","43514","57.6%","63940","54.4%","3.2pp"
"Exorcise","W","U","81116","2.96","22126","3.61","119045","88.5%","55.3%","19834","55.3%","28473","57.6%","48307","56.7%","70639","54.3%","2.4pp"
"Fear of Abduction","W","U","88055","3.28","21472","4.02","106694","81.7%","54.8%","16149","53.7%","26010","57.9%","42159","56.2%","64665","53.8%","2.5pp"
"Fear of Immobility","W","C","377747","5.73","52043","8.31","190915","60.4%","54.8%","29282","52.8%","46307","56.3%","75589","54.9%","115335","54.7%","0.3pp"
"Fear of Surveillance","W","C","295175","4.14","56420","5.67","310172","90.3%","55.4%","56217","56.1%","71032","54.8%","127249","55.4%","182629","55.3%","0.1pp"
"Friendly Ghost","W","C","390304","6.14","51803","8.87","169114","53.7%","55.0%","26678","54.3%","38804","56.3%","65482","55.5%","103454","54.6%","0.8pp"
"Ghostly Dancers","W","R","14842","1.45","10825","1.42","62143","91.1%","57.6%","10460","62.5%","15939","65.7%","26399","64.4%","35732","52.5%","11.9pp"
